,labels,samples,ch9,ch10,ch8,ch7,ch12,ch11,ch6,ch5,TTTTcc,TTTRcc,TTRTcc,TTRRcc,TRTTcc,TRTRcc,TRRTcc,TRRRcc,RTTTcc,RTTRcc,RTRTcc,RTRRcc,RRTTcc,RRTRcc,RRRTcc,RRRRcc
0,ZZZZ0,1,712749,808164,673224,632732,959292,888648,1008120,786271,0,1,2,102,0,0,0,0,5,0,0,2,115,0,1,0
1,ZZZX0,1,714168,812593,675986,634466,959752,888924,873409,909617,0,2,53,54,0,0,0,1,0,2,0,2,52,56,0,0
2,ZZZY0,1,715105,811098,675758,633556,960020,888951,959038,829292,0,0,51,46,1,1,1,0,0,0,0,0,60,54,0,0
3,ZZXZ0,1,719692,816127,678118,637990,871172,995439,1020764,789096,0,47,0,60,0,0,0,0,1,0,1,0,76,0,69,0
4,ZZXX0,1,719850,816838,677127,638220,871203,999557,879980,914796,26,26,20,28,0,2,0,0,0,0,1,0,34,18,36,22
5,ZZXY0,1,718367,818097,679879,637944,867280,997543,965291,834233,27,24,28,16,0,0,0,0,0,0,1,2,33,34,31,22
6,ZZYZ0,1,726593,822197,679508,640719,938899,937531,1030063,789015,1,65,0,36,0,0,0,0,0,0,1,0,50,0,58,0
7,ZZYX0,1,725129,824286,681539,642277,938410,939003,881373,922645,24,33,30,32,0,0,0,0,0,1,0,0,27,29,32,26
8,ZZYY0,1,725693,827347,682177,644123,940703,939681,973055,841844,22,23,27,32,1,0,0,1,1,0,1,0,25,28,21,24
9,ZXZZ0,1,722437,824275,711650,616368,968804,895768,1023824,789228,0,2,1,55,1,0,0,31,66,0,1,0,60,0,0,0
10,ZXZX0,1,718542,817706,701830,611204,960494,892758,876724,914570,0,0,22,20,1,0,35,21,25,32,0,0,26,40,0,0
11,ZXZY0,1,716544,814262,703328,612250,962344,893367,958056,834250,0,0,27,22,1,0,23,25,36,23,0,0,24,25,0,1
12,ZXXZ0,1,722766,821352,706828,612675,872185,1003624,1022038,790076,0,11,0,24,0,18,0,38,26,0,37,1,36,1,28,1
13,ZXXX0,1,720660,822016,708438,615556,871963,1002396,880013,917536,12,11,12,14,10,11,14,14,15,15,19,9,13,21,12,20
14,ZXXY0,1,719882,818683,705705,610885,872200,998095,967874,835067,6,15,14,10,19,7,8,9,16,20,10,13,8,18,14,14
15,ZXYZ0,1,717587,813040,701171,609089,932343,930970,1011959,788425,0,28,0,19,1,14,0,16,36,0,36,0,30,0,30,0
16,ZXYX0,1,707770,804360,697986,605215,923946,921556,872856,898819,12,18,11,9,10,7,12,15,19,12,15,23,10,15,11,13
17,ZXYY0,1,709151,802744,693435,601469,922005,920230,950529,825976,13,14,7,11,11,10,16,8,16,15,20,21,12,12,11,15
18,ZYZZ0,1,705822,798974,692282,601543,951583,884319,1001113,780777,1,0,0,47,0,0,0,35,69,0,1,0,44,0,0,1
19,ZYZX0,1,704321,795400,692192,601202,950430,881153,866156,891199,0,2,27,25,0,0,18,14,34,34,0,0,31,26,0,0
20,ZYZY0,1,704528,791224,684719,594704,939297,883070,947784,816987,1,0,35,17,1,0,17,16,23,25,0,0,24,19,0,1
21,ZYXZ0,1,694458,784329,684432,592057,846129,972948,980647,772819,0,22,2,24,1,23,0,21,41,0,35,0,26,0,26,1
22,ZYXX0,1,697408,788363,687261,596241,847984,976435,864983,883730,7,12,13,15,8,11,7,8,17,15,18,13,12,10,14,19
23,ZYXY0,1,696232,785619,684051,595221,847011,978276,938678,813121,7,6,20,16,13,6,10,11,16,14,18,14,15,8,17,9
24,ZYYZ0,1,693188,782246,684393,594170,907843,906897,977573,773800,1,37,0,16,0,15,0,27,26,0,45,0,36,5,26,0
25,ZYYX0,1,697030,789274,688266,598125,913541,911310,861076,884421,16,15,12,13,13,14,13,21,14,16,14,21,11,16,8,10
26,ZYYY0,1,701212,793785,689077,597014,916602,915912,942284,821224,20,13,20,6,14,6,18,16,16,12,9,14,5,16,8,12
27,XZZZ0,1,738821,746485,661800,619848,941667,875469,985283,775306,0,0,1,46,40,0,0,0,1,0,0,45,61,1,0,0
28,XZZX0,1,750183,756830,665435,626225,952976,884258,866064,897521,0,0,26,28,19,24,0,0,1,0,29,35,33,23,0,0
29,XZZY0,1,750269,754310,666612,624760,947136,882185,949597,821488,1,1,24,14,23,19,0,0,0,0,25,33,29,22,0,0
